Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
76889,Coq8b,coenzyme Q8B,Mus musculus,house mouse,NM_133770.2,NP_598531.2,10195515,curated,RefseqSelect,default-seq
76889,Coq8b,coenzyme Q8B,Mus musculus,house mouse,XM_006540421.2,XP_006540484.1,10195515,model,,
76889,Coq8b,coenzyme Q8B,Mus musculus,house mouse,XM_006540422.4,XP_006540485.1,10195515,model,,
76889,Coq8b,coenzyme Q8B,Mus musculus,house mouse,XM_011250741.4,XP_011249043.1,,model,,
76889,Coq8b,coenzyme Q8B,Mus musculus,house mouse,XM_017312382.3,XP_017167871.1,10195515,model,,
76889,Coq8b,coenzyme Q8B,Mus musculus,house mouse,XM_036153553.1,XP_036009446.1,,model,,
76889,Coq8b,coenzyme Q8B,Mus musculus,house mouse,XR_391109.2,,,curated,,
76889,Coq8b,coenzyme Q8B,Mus musculus,house mouse,XR_004934204.1,,,curated,,
79934,COQ8B,coenzyme Q8B,Homo sapiens,human,NM_024876.4,NP_079152.3,10195515,curated,RefseqSelect,default-seq
79934,COQ8B,coenzyme Q8B,Homo sapiens,human,NM_001142555.3,NP_001136027.1,10195515,curated,,
308453,Coq8b,coenzyme Q8B,Rattus norvegicus,Norway rat,NM_001012065.1,NP_001012065.1,10195515,curated,RefseqSelect,default-seq
308453,Coq8b,coenzyme Q8B,Rattus norvegicus,Norway rat,XM_017589119.3,XP_017444608.1,10195515,model,,
308453,Coq8b,coenzyme Q8B,Rattus norvegicus,Norway rat,XM_039111513.2,XP_038967441.1,,model,,
308453,Coq8b,coenzyme Q8B,Rattus norvegicus,Norway rat,XM_039111525.2,XP_038967453.1,,model,,
308453,Coq8b,coenzyme Q8B,Rattus norvegicus,Norway rat,XM_063261394.1,XP_063117464.1,,model,,
308453,Coq8b,coenzyme Q8B,Rattus norvegicus,Norway rat,XM_063261396.1,XP_063117466.1,,model,,
308453,Coq8b,coenzyme Q8B,Rattus norvegicus,Norway rat,XM_063261398.1,XP_063117468.1,,model,,
308453,Coq8b,coenzyme Q8B,Rattus norvegicus,Norway rat,XR_005505196.2,,,curated,,
456045,COQ8B,coenzyme Q8B,Pan troglodytes,chimpanzee,XM_016936016.4,XP_016791505.2,,model,,default-seq
456045,COQ8B,coenzyme Q8B,Pan troglodytes,chimpanzee,XM_016936017.4,XP_016791506.1,10195515,model,,
456045,COQ8B,coenzyme Q8B,Pan troglodytes,chimpanzee,XM_016936019.4,XP_016791508.1,10195515,model,,
456045,COQ8B,coenzyme Q8B,Pan troglodytes,chimpanzee,XM_016936020.4,XP_016791509.1,10195515,model,,
456045,COQ8B,coenzyme Q8B,Pan troglodytes,chimpanzee,XM_016936021.4,XP_016791510.1,10195515,model,,
456045,COQ8B,coenzyme Q8B,Pan troglodytes,chimpanzee,XM_016936022.4,XP_016791511.1,10195515,model,,
456045,COQ8B,coenzyme Q8B,Pan troglodytes,chimpanzee,XM_016936023.4,XP_016791512.1,10195515,model,,
456045,COQ8B,coenzyme Q8B,Pan troglodytes,chimpanzee,XM_016936024.4,XP_016791513.1,10195515,model,,
456045,COQ8B,coenzyme Q8B,Pan troglodytes,chimpanzee,XM_024351386.3,XP_024207154.1,10195515,model,,
456045,COQ8B,coenzyme Q8B,Pan troglodytes,chimpanzee,XM_054674146.2,XP_054530121.2,,model,,
456045,COQ8B,coenzyme Q8B,Pan troglodytes,chimpanzee,XM_054674148.1,XP_054530123.1,,model,,
456045,COQ8B,coenzyme Q8B,Pan troglodytes,chimpanzee,XM_063801715.1,XP_063657785.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_541612.7,XP_541612.4,10195515,model,,default-seq
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_014120284.3,XP_013975759.1,10195515,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_014120286.3,XP_013975761.1,10195515,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_014120305.3,XP_013975780.1,10195515,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_014120313.3,XP_013975788.1,10195515,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_022425523.2,XP_022281231.1,10195515,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038468096.1,XP_038324024.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038468097.1,XP_038324025.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038468098.1,XP_038324026.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038468099.1,XP_038324027.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038468100.1,XP_038324028.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038468101.1,XP_038324029.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038528838.1,XP_038384766.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038528839.1,XP_038384767.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038528840.1,XP_038384768.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038528841.1,XP_038384769.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038528843.1,XP_038384771.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038528844.1,XP_038384772.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038593108.1,XP_038449036.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038593109.1,XP_038449037.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038593110.1,XP_038449038.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038593111.1,XP_038449039.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038593112.1,XP_038449040.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038593113.1,XP_038449041.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038656930.1,XP_038512858.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038656931.1,XP_038512859.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038656932.1,XP_038512860.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038656933.1,XP_038512861.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038656934.1,XP_038512862.1,,model,,
484498,COQ8B,coenzyme Q8B,Canis lupus familiaris,dog,XM_038656935.1,XP_038512863.1,,model,,
514322,COQ8B,coenzyme Q8B,Bos taurus,domestic cattle,XM_002694992.7,XP_002695038.3,10195515,model,,default-seq
702379,COQ8B,coenzyme Q8B,Macaca mulatta,Rhesus monkey,XM_015123954.2,XP_014979440.2,10195515,model,,default-seq
702379,COQ8B,coenzyme Q8B,Macaca mulatta,Rhesus monkey,NM_001265945.1,NP_001252874.1,10195515,curated,,
702379,COQ8B,coenzyme Q8B,Macaca mulatta,Rhesus monkey,XM_015123956.2,XP_014979442.2,10195515,model,,
702379,COQ8B,coenzyme Q8B,Macaca mulatta,Rhesus monkey,XM_028838385.1,XP_028694218.1,10195515,model,,
702379,COQ8B,coenzyme Q8B,Macaca mulatta,Rhesus monkey,XM_028838386.1,XP_028694219.1,10195515,model,,
702379,COQ8B,coenzyme Q8B,Macaca mulatta,Rhesus monkey,XR_003724795.1,,,curated,,
100018202,COQ8B,coenzyme Q8B,Monodelphis domestica,gray short-tailed opossum,XM_007491934.3,XP_007491996.1,10195515,model,,default-seq
100018202,COQ8B,coenzyme Q8B,Monodelphis domestica,gray short-tailed opossum,XM_007491935.3,XP_007491997.1,10195515,model,,
100018202,COQ8B,coenzyme Q8B,Monodelphis domestica,gray short-tailed opossum,XM_007491936.3,XP_007491998.1,10195515,model,,
100018202,COQ8B,coenzyme Q8B,Monodelphis domestica,gray short-tailed opossum,XM_056796215.1,XP_056652193.1,,model,,
100068218,COQ8B,coenzyme Q8B,Equus caballus,horse,XM_001499251.7,XP_001499301.3,10195515,model,,default-seq
100068218,COQ8B,coenzyme Q8B,Equus caballus,horse,XM_014736299.3,XP_014591785.1,10195515,model,,
100068218,COQ8B,coenzyme Q8B,Equus caballus,horse,XM_014736331.3,XP_014591817.1,10195515,model,,
100068218,COQ8B,coenzyme Q8B,Equus caballus,horse,XM_014736367.3,XP_014591853.1,10195515,model,,
100068218,COQ8B,coenzyme Q8B,Equus caballus,horse,XM_014736407.3,XP_014591893.1,10195515,model,,
100068218,COQ8B,coenzyme Q8B,Equus caballus,horse,XM_070224468.1,XP_070080569.1,,model,,
100068218,COQ8B,coenzyme Q8B,Equus caballus,horse,XM_070224470.1,XP_070080571.1,,model,,
100068218,COQ8B,coenzyme Q8B,Equus caballus,horse,XM_070224471.1,XP_070080572.1,,model,,
100068218,COQ8B,coenzyme Q8B,Equus caballus,horse,XM_070224472.1,XP_070080573.1,,model,,
100068218,COQ8B,coenzyme Q8B,Equus caballus,horse,XM_070224473.1,XP_070080574.1,,model,,
100068218,COQ8B,coenzyme Q8B,Equus caballus,horse,XM_070224474.1,XP_070080575.1,,model,,
100088218,COQ8B,coenzyme Q8B,Ornithorhynchus anatinus,platypus,XM_029065431.2,XP_028921264.1,10195515,model,,default-seq
100338698,COQ8B,coenzyme Q8B,Oryctolagus cuniculus,rabbit,XM_070062179.1,XP_069918280.1,,model,,default-seq
100338698,COQ8B,coenzyme Q8B,Oryctolagus cuniculus,rabbit,XM_008249715.4,XP_008247937.2,,model,,
100338698,COQ8B,coenzyme Q8B,Oryctolagus cuniculus,rabbit,XM_008249716.4,XP_008247938.2,,model,,
100338698,COQ8B,coenzyme Q8B,Oryctolagus cuniculus,rabbit,XM_008249717.4,XP_008247939.2,,model,,
100338698,COQ8B,coenzyme Q8B,Oryctolagus cuniculus,rabbit,XM_008249718.4,XP_008247940.2,,model,,
100338698,COQ8B,coenzyme Q8B,Oryctolagus cuniculus,rabbit,XM_008249719.4,XP_008247941.2,,model,,
100338698,COQ8B,coenzyme Q8B,Oryctolagus cuniculus,rabbit,XM_008249721.4,XP_008247943.2,,model,,
100338698,COQ8B,coenzyme Q8B,Oryctolagus cuniculus,rabbit,XM_008249722.4,XP_008247944.2,,model,,
100338698,COQ8B,coenzyme Q8B,Oryctolagus cuniculus,rabbit,XM_070062180.1,XP_069918281.1,,model,,
100338698,COQ8B,coenzyme Q8B,Oryctolagus cuniculus,rabbit,XM_070062181.1,XP_069918282.1,,model,,
100338698,COQ8B,coenzyme Q8B,Oryctolagus cuniculus,rabbit,XM_070062182.1,XP_069918283.1,,model,,
100338698,COQ8B,coenzyme Q8B,Oryctolagus cuniculus,rabbit,XM_070062183.1,XP_069918284.1,,model,,
100338698,COQ8B,coenzyme Q8B,Oryctolagus cuniculus,rabbit,XM_070062184.1,XP_069918285.1,,model,,
100338698,COQ8B,coenzyme Q8B,Oryctolagus cuniculus,rabbit,XM_070062185.1,XP_069918286.1,,model,,
100338698,COQ8B,coenzyme Q8B,Oryctolagus cuniculus,rabbit,XM_070062186.1,XP_069918287.1,,model,,
100338698,COQ8B,coenzyme Q8B,Oryctolagus cuniculus,rabbit,XM_070062187.1,XP_069918288.1,,model,,
100338698,COQ8B,coenzyme Q8B,Oryctolagus cuniculus,rabbit,XM_070062188.1,XP_069918289.1,,model,,
100338698,COQ8B,coenzyme Q8B,Oryctolagus cuniculus,rabbit,XM_070062189.1,XP_069918290.1,,model,,
100391932,COQ8B,coenzyme Q8B,Callithrix jacchus,white-tufted-ear marmoset,XM_008988041.4,XP_008986289.3,,model,,default-seq
100391932,COQ8B,coenzyme Q8B,Callithrix jacchus,white-tufted-ear marmoset,XM_008988042.5,XP_008986290.3,,model,,
100391932,COQ8B,coenzyme Q8B,Callithrix jacchus,white-tufted-ear marmoset,XM_008988043.3,XP_008986291.3,,model,,
100391932,COQ8B,coenzyme Q8B,Callithrix jacchus,white-tufted-ear marmoset,XM_008988044.4,XP_008986292.3,,model,,
100391932,COQ8B,coenzyme Q8B,Callithrix jacchus,white-tufted-ear marmoset,XM_017967463.3,XP_017822952.3,,model,,
100391932,COQ8B,coenzyme Q8B,Callithrix jacchus,white-tufted-ear marmoset,XM_035286390.2,XP_035142281.2,,model,,
100391932,COQ8B,coenzyme Q8B,Callithrix jacchus,white-tufted-ear marmoset,XM_035286391.2,XP_035142282.2,,model,,
100391932,COQ8B,coenzyme Q8B,Callithrix jacchus,white-tufted-ear marmoset,XM_035286392.2,XP_035142283.2,,model,,
100391932,COQ8B,coenzyme Q8B,Callithrix jacchus,white-tufted-ear marmoset,XM_035286393.2,XP_035142284.2,,model,,
100391932,COQ8B,coenzyme Q8B,Callithrix jacchus,white-tufted-ear marmoset,XM_035286394.2,XP_035142285.2,,model,,
100391932,COQ8B,coenzyme Q8B,Callithrix jacchus,white-tufted-ear marmoset,XM_054249333.1,XP_054105308.1,,model,,
100391932,COQ8B,coenzyme Q8B,Callithrix jacchus,white-tufted-ear marmoset,XM_054249334.1,XP_054105309.1,,model,,
100447900,COQ8B,coenzyme Q8B,Pongo abelii,Sumatran orangutan,XM_024236915.3,XP_024092683.1,10195515,model,,default-seq
100447900,COQ8B,coenzyme Q8B,Pongo abelii,Sumatran orangutan,XM_024236918.3,XP_024092686.1,10195515,model,,
100447900,COQ8B,coenzyme Q8B,Pongo abelii,Sumatran orangutan,XM_024236919.3,XP_024092687.1,10195515,model,,
100447900,COQ8B,coenzyme Q8B,Pongo abelii,Sumatran orangutan,XM_024236920.3,XP_024092688.1,10195515,model,,
100447900,COQ8B,coenzyme Q8B,Pongo abelii,Sumatran orangutan,XM_024236921.3,XP_024092689.1,10195515,model,,
100447900,COQ8B,coenzyme Q8B,Pongo abelii,Sumatran orangutan,XM_024236922.3,XP_024092690.1,10195515,model,,
100447900,COQ8B,coenzyme Q8B,Pongo abelii,Sumatran orangutan,XM_054540448.2,XP_054396423.1,,model,,
100447900,COQ8B,coenzyme Q8B,Pongo abelii,Sumatran orangutan,XM_054540449.2,XP_054396424.1,,model,,
100447900,COQ8B,coenzyme Q8B,Pongo abelii,Sumatran orangutan,XM_063720109.1,XP_063576179.1,,model,,
100466848,COQ8B,coenzyme Q8B,Ailuropoda melanoleuca,giant panda,XM_034638210.1,XP_034494101.1,,model,,default-seq
100466848,COQ8B,coenzyme Q8B,Ailuropoda melanoleuca,giant panda,XM_034638209.1,XP_034494100.1,,model,,
100466848,COQ8B,coenzyme Q8B,Ailuropoda melanoleuca,giant panda,XM_034638211.1,XP_034494102.1,,model,,
100466848,COQ8B,coenzyme Q8B,Ailuropoda melanoleuca,giant panda,XM_034638212.1,XP_034494103.1,,model,,
100466848,COQ8B,coenzyme Q8B,Ailuropoda melanoleuca,giant panda,XM_034638213.1,XP_034494104.1,,model,,
100466848,COQ8B,coenzyme Q8B,Ailuropoda melanoleuca,giant panda,XM_034638214.1,XP_034494105.1,,model,,
100466848,COQ8B,coenzyme Q8B,Ailuropoda melanoleuca,giant panda,XM_034638215.1,XP_034494106.1,,model,,
100466848,COQ8B,coenzyme Q8B,Ailuropoda melanoleuca,giant panda,XM_034638216.1,XP_034494107.1,,model,,
100583296,COQ8B,coenzyme Q8B,Nomascus leucogenys,northern white-cheeked gibbon,XM_030796622.1,XP_030652482.1,,model,,default-seq
100583296,COQ8B,coenzyme Q8B,Nomascus leucogenys,northern white-cheeked gibbon,XM_012496821.2,XP_012352275.1,10195515,model,,
100583296,COQ8B,coenzyme Q8B,Nomascus leucogenys,northern white-cheeked gibbon,XM_030796623.1,XP_030652483.1,,model,,
100583296,COQ8B,coenzyme Q8B,Nomascus leucogenys,northern white-cheeked gibbon,XM_030796625.1,XP_030652485.1,,model,,
100583296,COQ8B,coenzyme Q8B,Nomascus leucogenys,northern white-cheeked gibbon,XM_030796626.1,XP_030652486.1,,model,,
100583296,COQ8B,coenzyme Q8B,Nomascus leucogenys,northern white-cheeked gibbon,XM_030796627.1,XP_030652487.1,,model,,
100626725,COQ8B,coenzyme Q8B,Sus scrofa,pig,XM_013988581.2,XP_013844035.2,10195515,model,,default-seq
100626725,COQ8B,coenzyme Q8B,Sus scrofa,pig,XM_003355928.4,XP_003355976.2,10195515,model,,
100626725,COQ8B,coenzyme Q8B,Sus scrofa,pig,XM_013988583.2,XP_013844037.2,10195515,model,,
100626725,COQ8B,coenzyme Q8B,Sus scrofa,pig,XM_013988584.2,XP_013844038.2,10195515,model,,
100626725,COQ8B,coenzyme Q8B,Sus scrofa,pig,XM_013988585.2,XP_013844039.2,10195515,model,,
100626725,COQ8B,coenzyme Q8B,Sus scrofa,pig,XM_013988586.2,XP_013844040.2,10195515,model,,
100626725,COQ8B,coenzyme Q8B,Sus scrofa,pig,XM_013988587.2,XP_013844041.2,10195515,model,,
100626725,COQ8B,coenzyme Q8B,Sus scrofa,pig,XM_021094403.1,XP_020950062.1,10195515,model,,
100626725,COQ8B,coenzyme Q8B,Sus scrofa,pig,XM_021094404.1,XP_020950063.1,10195515,model,,
100626725,COQ8B,coenzyme Q8B,Sus scrofa,pig,XM_021094405.1,XP_020950064.1,10195515,model,,
100626725,COQ8B,coenzyme Q8B,Sus scrofa,pig,XM_021094406.1,XP_020950065.1,10195515,model,,
100674955,COQ8B,coenzyme Q8B,Loxodonta africana,African savanna elephant,XM_010600346.3,XP_010598648.1,10195515,model,,default-seq
100674955,COQ8B,coenzyme Q8B,Loxodonta africana,African savanna elephant,XM_023539922.2,XP_023395690.2,,model,,
100674955,COQ8B,coenzyme Q8B,Loxodonta africana,African savanna elephant,XM_023539923.2,XP_023395691.1,10195515,model,,
100674955,COQ8B,coenzyme Q8B,Loxodonta africana,African savanna elephant,XM_023539924.2,XP_023395692.1,10195515,model,,
100674955,COQ8B,coenzyme Q8B,Loxodonta africana,African savanna elephant,XM_064293679.1,XP_064149749.1,,model,,
100674955,COQ8B,coenzyme Q8B,Loxodonta africana,African savanna elephant,XM_064293680.1,XP_064149750.1,,model,,
100674955,COQ8B,coenzyme Q8B,Loxodonta africana,African savanna elephant,XR_010323312.1,,,model,,
